  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   13:08:43  02/29/2024 cgix     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.4786941E+00  -1.8881354E-03   3.1917877E+00   1.2844160E+00
   1.4836650E+00  -1.2575571E-03   3.2105079E+00   1.2841876E+00
   1.4886171E+00  -9.7528117E-04   3.2251031E+00   1.2832143E+00
   1.4935532E+00  -1.0859133E-03   3.2423708E+00   1.2828063E+00
   1.4984747E+00  -8.5847278E-04   3.2708650E+00   1.2823802E+00
   1.5033814E+00  -1.2163454E-03   3.3209364E+00   1.2841395E+00
   1.5082842E+00   6.2838139E-04   3.3189197E+00   1.2830938E+00
   1.5131768E+00   1.4886021E-04   3.3193147E+00   1.2814604E+00
   1.5180615E+00  -1.4227299E-03   3.3375070E+00   1.2800111E+00
   1.5229394E+00  -1.0251092E-03   3.3800180E+00   1.2787659E+00
   1.5278096E+00   8.2465104E-04   3.4427149E+00   1.2798169E+00
   1.5325192E+00   6.7884702E-04   3.4231153E+00   1.2781171E+00
   1.5393040E+00  -4.9664499E-04   3.4327440E+00   1.2765194E+00
   1.5436606E+00  -1.0520529E-03   3.4679451E+00   1.2758989E+00
   1.5474255E+00   1.5699993E-03   3.5293305E+00   1.2805459E+00
   1.5528045E+00  -1.5546748E-04   3.4981246E+00   1.2783808E+00
   1.5581942E+00  -4.1391497E-04   3.5149283E+00   1.2763747E+00
   1.5637968E+00   2.4933796E-04   3.6176486E+00   1.2741840E+00
   1.5677272E+00   2.2695588E-03   3.5310631E+00   1.2712390E+00
   1.5718462E+00  -2.2981868E-03   3.6430769E+00   1.2733850E+00
   1.5783051E+00   2.5879808E-03   3.6181426E+00   1.2712431E+00
   1.5827847E+00   2.6218886E-03   3.6188631E+00   1.2702563E+00
   1.5873929E+00   1.4322464E-03   3.6297648E+00   1.2694072E+00
   1.5920043E+00   3.5372023E-03   3.6552472E+00   1.2693403E+00
   1.5965976E+00   2.4077599E-03   3.7145405E+00   1.2737081E+00
   1.6021904E+00   4.2483229E-03   3.6948931E+00   1.2712572E+00
   1.6083460E+00   1.1695384E-03   3.7142334E+00   1.2684761E+00
   1.6127219E+00   2.0565235E-03   3.7529910E+00   1.2654296E+00
   1.6172382E+00   4.9869562E-03   3.7589571E+00   1.2636588E+00
   1.6217357E+00   5.5508632E-03   3.7652256E+00   1.2620187E+00
   1.6262159E+00   4.6672169E-03   3.7809229E+00   1.2605709E+00
   1.6326379E+00   9.1747437E-03   3.8130004E+00   1.2660216E+00
