  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   19:27:57  02/22/2024 gpju     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      704      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   2.2235999E+00  -4.1911088E-02  -1.7602758E-01   4.0099783E+00
   2.2287221E+00  -4.0876191E-02  -5.4727280E-01   4.0010004E+00
   2.2338667E+00  -4.2557418E-02  -5.3690660E-01   4.0020938E+00
   2.2391579E+00  -4.2149641E-02  -5.2350867E-01   4.0037227E+00
   2.2442083E+00  -4.4711262E-02  -5.2809733E-01   4.0048766E+00
   2.2494259E+00  -4.3863826E-02  -5.6307292E-01   4.0050945E+00
   2.2546563E+00  -4.5217492E-02  -6.3706899E-01   4.0042944E+00
   2.2600398E+00  -4.2163190E-02  -9.3521327E-01   3.9956431E+00
   2.2640963E+00  -4.3928377E-02  -9.5766842E-01   3.9959736E+00
   2.2681530E+00  -4.4605605E-02  -9.7614861E-01   3.9965987E+00
   2.2722094E+00  -4.4393267E-02  -1.0018890E+00   3.9973304E+00
   2.2762659E+00  -4.3739606E-02  -1.0345521E+00   3.9973404E+00
   2.2845817E+00  -4.1699860E-02  -1.3488454E+00   3.9874213E+00
   2.2890542E+00  -4.2523734E-02  -1.3614409E+00   3.9874957E+00
   2.2937500E+00  -4.4137020E-02  -1.3673536E+00   3.9885123E+00
   2.2986808E+00  -4.4192705E-02  -1.3836219E+00   3.9890251E+00
   2.3038580E+00  -4.4256072E-02  -1.4190520E+00   3.9896827E+00
   2.3092177E+00  -4.4153843E-02  -1.5635376E+00   3.9849100E+00
   2.3147485E+00  -4.4820752E-02  -1.5951760E+00   3.9843709E+00
   2.3198409E+00  -4.5524828E-02  -1.6480782E+00   3.9837337E+00
   2.3298235E+00  -4.4867598E-02  -1.8451915E+00   3.9762197E+00
   2.3351922E+00  -4.5587961E-02  -1.8637400E+00   3.9770203E+00
   2.3406260E+00  -4.5267053E-02  -1.8888600E+00   3.9773052E+00
   2.3459992E+00  -4.4339564E-02  -1.9924340E+00   3.9726541E+00
   2.3513670E+00  -4.4619139E-02  -2.0103269E+00   3.9723206E+00
   2.3568208E+00  -4.5555200E-02  -2.1039877E+00   3.9685349E+00
