  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   20:21:40  02/28/2024 httg     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      993      0.000E+00      1.714E+00
   time              pfxob_1         pfyob_1         pfzob_1
   5.7361543E-01  -2.2026926E-02  -1.0434918E+00   5.1958483E-01
   5.7583874E-01   3.6826808E-04  -1.1422040E+00   5.2285445E-01
   5.7739937E-01   1.1009769E-02  -1.1844869E+00   5.1940173E-01
   5.7909560E-01   2.6860849E-03  -1.2474183E+00   5.2029085E-01
   5.8096576E-01   1.2035224E-02  -1.2801733E+00   5.1927423E-01
   5.8302754E-01   7.3151137E-03  -1.3423289E+00   5.2414012E-01
   5.8410066E-01  -7.4903858E-03  -1.3736137E+00   5.2197397E-01
   5.8626157E-01   4.6916325E-03  -1.4421518E+00   5.1986635E-01
   5.8736354E-01   1.6324861E-03  -1.4402907E+00   5.2029699E-01
   5.8965099E-01   3.4702197E-04  -1.5355105E+00   5.1973730E-01
   5.9085238E-01   9.0685757E-03  -1.5729706E+00   5.2168572E-01
   5.9316194E-01   1.0943195E-02  -1.6372620E+00   5.2104980E-01
   5.9427154E-01   1.2729544E-02  -1.6655258E+00   5.2209753E-01
   5.9642684E-01  -2.6852638E-04  -1.7009292E+00   5.2199346E-01
