  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   17:38:25  03/07/2024 ntjb     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1001      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   8.9533949E-01   8.4753856E-03  -1.0307558E+01   1.7947987E+00
   8.9860779E-01   3.5572287E-02  -1.0214599E+01   1.7937959E+00
   9.0188986E-01  -3.8625866E-02  -1.0104407E+01   1.7915808E+00
   9.0516460E-01   3.3576505E-03  -1.0013661E+01   1.7894263E+00
   9.0840536E-01   3.7460007E-02  -9.9687872E+00   1.7880383E+00
   9.1227919E-01  -6.5279856E-02  -9.7956066E+00   1.7866702E+00
   9.1551507E-01  -2.2540488E-03  -9.7354870E+00   1.7853686E+00
   9.1876191E-01  -9.4673755E-03  -9.7350550E+00   1.7840515E+00
   9.2201549E-01   3.4954216E-02  -9.6135302E+00   1.7827115E+00
   9.2527187E-01  -4.5173634E-03  -9.5384569E+00   1.7817962E+00
   9.2853791E-01   3.3732499E-03  -9.4560976E+00   1.7806480E+00
   9.3179595E-01  -4.0538818E-02  -9.3182631E+00   1.7790533E+00
   9.3505669E-01  -1.3996785E-02  -9.2292681E+00   1.7774988E+00
   9.3895715E-01  -6.5590921E-03  -9.1483822E+00   1.7767485E+00
   9.4220984E-01   6.7518130E-03  -9.0530548E+00   1.7762449E+00
   9.4549704E-01  -2.2947848E-02  -8.9620447E+00   1.7750180E+00
   9.4880885E-01   1.3119839E-03  -8.8650112E+00   1.7731837E+00
   9.5213461E-01  -1.1843912E-03  -8.8145294E+00   1.7719527E+00
   9.5546234E-01  -2.0848600E-02  -8.6890974E+00   1.7715605E+00
   9.5878148E-01   1.8803874E-03  -8.6377382E+00   1.7707665E+00
   9.6208560E-01  -1.0985545E-02  -8.5334139E+00   1.7695396E+00
   9.6537983E-01  -8.6680083E-03  -8.4964237E+00   1.7682865E+00
   9.6867675E-01  -1.2655926E-03  -8.3456888E+00   1.7674584E+00
   9.7199732E-01  -6.8129632E-03  -8.2640905E+00   1.7669227E+00
