  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   11:24:45  02/13/2024 txso     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.376E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.0672699E+00  -4.9905246E-03  -6.0798769E+00  -6.5508790E-02
   1.0701618E+00  -1.9869072E-02  -6.0628858E+00  -6.0151901E-02
   1.0733775E+00   7.0828467E-04  -6.0079050E+00  -5.5783186E-02
   1.0766102E+00  -1.0477004E-02  -5.9302740E+00  -5.3520352E-02
   1.0798297E+00  -1.2270072E-02  -5.9240179E+00  -5.3877730E-02
   1.0841030E+00  -3.2386854E-03  -5.8383336E+00  -4.6095055E-02
   1.0872172E+00  -2.4561491E-03  -5.8067765E+00  -4.6385914E-02
   1.0902666E+00  -9.6798157E-03  -5.6369100E+00  -4.1660897E-02
   1.0934210E+00  -4.2466940E-03  -5.6725440E+00  -3.8352747E-02
   1.0976559E+00  -3.5030474E-03  -5.7324147E+00  -3.2944944E-02
   1.1007907E+00  -3.4026850E-03  -5.5224910E+00  -2.9008741E-02
